PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,abf,num,lr
0001_01,Europa,FALSE,TRAPPIST-1e,39,FALSE,0,0,0,0,0,FALSE,B,0,P
0002_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,109,9,25,549,44,TRUE,F,0,S
0003_01,Europa,FALSE,TRAPPIST-1e,58,TRUE,43,3576,0,6715,49,FALSE,A,0,S
0003_02,Europa,FALSE,TRAPPIST-1e,33,FALSE,0,1283,371,3329,193,FALSE,A,0,S
0004_01,Earth,FALSE,TRAPPIST-1e,16,FALSE,303,70,151,565,2,TRUE,F,1,S
0005_01,Earth,FALSE,PSO J318.5-22,44,FALSE,0,483,0,291,0,TRUE,F,0,P
0006_01,Earth,FALSE,TRAPPIST-1e,26,FALSE,42,1539,3,0,0,TRUE,F,2,S
0006_02,Earth,TRUE,TRAPPIST-1e,28,FALSE,0,0,0,0,,TRUE,G,0,S
0007_01,Earth,FALSE,TRAPPIST-1e,35,FALSE,0,785,17,216,0,TRUE,F,3,S
0008_01,Europa,TRUE,55 Cancri e,14,FALSE,0,0,0,0,0,TRUE,B,1,P
0008_02,Europa,TRUE,TRAPPIST-1e,34,FALSE,0,0,,0,0,TRUE,B,1,P
0008_03,Europa,FALSE,55 Cancri e,45,FALSE,39,7295,589,110,124,TRUE,B,1,P
0009_01,Mars,FALSE,TRAPPIST-1e,32,FALSE,73,0,1123,0,113,TRUE,F,1,P
0010_01,Earth,FALSE,TRAPPIST-1e,48,FALSE,719,1,65,0,24,FALSE,G,1,S
0011_01,Earth,FALSE,TRAPPIST-1e,28,FALSE,8,974,12,2,7,TRUE,F,2,P
0012_01,Earth,FALSE,TRAPPIST-1e,31,FALSE,32,0,876,0,0,FALSE,,,
0014_01,Mars,FALSE,55 Cancri e,27,FALSE,1286,122,,0,0,FALSE,F,3,P
0015_01,Earth,FALSE,55 Cancri e,24,FALSE,0,1,0,0,637,FALSE,F,4,P
0016_01,Mars,TRUE,TRAPPIST-1e,45,FALSE,0,0,0,0,0,TRUE,F,5,P
